date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:49	202/202	---M--	200	added ('OK%20')	text/plain	date:Wed,%2020%20Aug%202014%2010:55:34%20GMT	http://localhost:3000/robots.txt		(from )
10:28:49	6415/6415	---MC-	200	added ('OK%20')	text/html	etag:W/%223d64b78be4c3ca5287d579d627456071%22	http://localhost:3000/	/home/michael/websites/dalil-212/localhost_3000/index.html	(from )
10:28:49	316442/316442	---M--	200	added ('OK%20')	text/css	etag:%2263e05c7cb47ec711ee2eed783a8078fd%22	http://localhost:3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd.css?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd7e76.css	(from http://localhost:3000/)
10:28:53	51352/51352	---M--	200	added ('OK%20')	application/javascript	etag:%223fb923af871d10cc84b8ab1daa4abb62%22	http://localhost:3000/assets/vendor/modernizr-3fb923af871d10cc84b8ab1daa4abb62.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/vendor/modernizr-3fb923af871d10cc84b8ab1daa4abb627e76.js	(from http://localhost:3000/)
10:28:53	13980/13980	---MC-	200	added ('OK%20')	text/html	etag:W/%22e213d0fc742be601eedf874f0c0b04b9%22	http://localhost:3000/p/home	/home/michael/websites/dalil-212/localhost_3000/p/home.html	(from http://localhost:3000/)
10:28:54	4820/4820	---MC-	200	added ('OK%20')	text/html	etag:W/%223a30bf80797aeff77c82da6d79760253%22	http://localhost:3000/p/profil	/home/michael/websites/dalil-212/localhost_3000/p/profil.html	(from http://localhost:3000/)
10:28:55	11617/11617	---MC-	200	added ('OK%20')	text/html	etag:W/%22deaf0761d650f995f84bc605c398451b%22	http://localhost:3000/p/home1	/home/michael/websites/dalil-212/localhost_3000/p/home1.html	(from http://localhost:3000/)
10:28:57	22388/22388	---MC-	200	added ('OK%20')	text/html	etag:W/%2289b48a224c0985452487b3ba4bba926b%22	http://localhost:3000/p/profil1	/home/michael/websites/dalil-212/localhost_3000/p/profil1.html	(from http://localhost:3000/)
10:29:27	230313/230313	---M--	200	added ('OK%20')	image/png	etag:%220be4eaab91c9e73dd7a7f4a10a3cba0a%22	http://localhost:3000/assets/p-home-0be4eaab91c9e73dd7a7f4a10a3cba0a.png	/home/michael/websites/dalil-212/localhost_3000/assets/p-home-0be4eaab91c9e73dd7a7f4a10a3cba0a.png	(from http://localhost:3000/)
10:29:28	12099/12099	---MC-	200	added ('OK%20')	text/html	etag:W/%22c94ba946d6b572ca90fa58a1e374ea12%22	http://localhost:3000/p/custom_home_1	/home/michael/websites/dalil-212/localhost_3000/p/custom_home_1.html	(from http://localhost:3000/)
10:29:40	263759/263759	---M--	200	added ('OK%20')	image/png	etag:%22d0c0c9eac901dd0668fbb5525db8fa53%22	http://localhost:3000/assets/p-profil1-d0c0c9eac901dd0668fbb5525db8fa53.png	/home/michael/websites/dalil-212/localhost_3000/assets/p-profil1-d0c0c9eac901dd0668fbb5525db8fa53.png	(from http://localhost:3000/)
